State,Season,Soil_Type,Crop,Rainfall_mm,Temperature_C,Humidity_pct,pH,Area_ha,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer,Irrigation,Yield_kg_ha
Rajasthan,Rabi,Black,Mustard,258.7,23.6,81.1,6.34,0.89,144.4,37.4,39.4,Urea,Drip,2293.2
Madhya Pradesh,Rabi,Alluvial,Maize,867.7,27.8,78.5,7.71,6.16,114.2,11.1,30.3,DAP,Flood,4829.7
Andhra Pradesh,Zaid,Alluvial,Sugarcane,1280.4,31.6,81.2,5.71,9.61,38.3,18.8,41.7,Compost,Sprinkler,86204.8
Madhya Pradesh,Kharif,Black,Cotton,971.6,33.7,51.9,6.98,15.24,57.1,27.4,63.1,Compost,Drip,426.9
Maharashtra,Rabi,Loamy,Soybean,1012.1,25.7,70.9,6.17,10.45,96.8,14.2,78.1,Compost,Sprinkler,1721.0
Madhya Pradesh,Zaid,Black,Mustard,455.8,22.2,81.6,8.0,17.67,131.9,11.1,17.5,NPK,Sprinkler,870.0
Rajasthan,Kharif,Alluvial,Rice,1265.8,34.3,49.4,6.56,15.6,107.5,67.1,75.3,Potash,Flood,5121.4
Karnataka,Zaid,Alluvial,Barley,493.2,9.1,93.8,6.6,9.43,50.3,75.1,70.7,Potash,Flood,1621.9
Punjab,Rabi,Red,Cotton,1069.3,23.6,52.8,7.13,4.83,119.7,66.8,66.9,Urea,Rain-fed,714.7
Madhya Pradesh,Rabi,Sandy,Cotton,686.5,28.5,42.8,8.38,5.9,70.5,18.3,15.6,Potash,Flood,412.0
Uttar Pradesh,Rabi,Clay,Rice,1351.8,32.9,68.7,7.12,10.6,20.2,16.8,17.1,DAP,Drip,4870.7
Rajasthan,Rabi,Red,Sugarcane,2342.1,37.0,86.1,8.15,9.59,143.2,71.8,27.1,Potash,Flood,62033.1
Rajasthan,Kharif,Red,Groundnut,656.6,28.0,69.4,8.37,6.34,123.9,29.4,68.2,Potash,Rain-fed,978.5
Punjab,Zaid,Laterite,Mustard,531.3,16.6,51.5,8.35,1.69,59.6,45.0,39.6,NPK,Drip,1034.7
West Bengal,Rabi,Red,Groundnut,653.1,29.5,71.3,8.18,12.91,106.8,41.5,58.3,Urea,Drip,1033.1
Uttar Pradesh,Zaid,Clay,Rice,1975.8,31.2,40.7,6.15,1.77,118.3,67.0,10.3,Compost,Rain-fed,3429.7
West Bengal,Zaid,Black,Soybean,673.3,24.3,50.2,6.11,5.15,71.4,55.8,40.7,Potash,Drip,2631.7
West Bengal,Kharif,Black,Cotton,1154.2,33.4,48.2,5.57,12.75,148.3,72.1,38.8,Potash,Flood,527.0
Punjab,Zaid,Alluvial,Wheat,316.1,11.6,84.5,7.86,9.44,84.0,72.9,23.3,Potash,Sprinkler,5311.3
Maharashtra,Rabi,Black,Maize,996.9,27.5,63.3,6.06,7.6,123.0,16.4,13.9,DAP,Flood,6239.1
Punjab,Rabi,Alluvial,Sugarcane,1033.1,24.6,44.2,6.89,19.79,145.1,64.6,71.2,NPK,Flood,109203.5
Haryana,Zaid,Black,Mustard,268.9,21.5,77.0,6.41,1.19,96.2,30.9,20.4,Urea,Flood,1903.8
Maharashtra,Zaid,Red,Rice,1216.7,31.6,40.6,7.79,2.58,98.7,78.8,27.0,Potash,Rain-fed,4144.9
Rajasthan,Zaid,Loamy,Rice,1372.8,22.8,41.6,5.62,12.45,76.9,48.8,66.0,Potash,Sprinkler,4049.2
Andhra Pradesh,Zaid,Sandy,Maize,881.4,19.2,50.9,8.35,11.0,32.9,36.6,63.9,Organic,Sprinkler,4587.6
Andhra Pradesh,Zaid,Black,Maize,838.0,20.6,41.2,8.08,18.43,113.5,40.9,55.9,DAP,Flood,3306.2
West Bengal,Zaid,Black,Jowar,509.2,27.2,49.3,5.93,10.32,42.2,70.2,47.2,Urea,Sprinkler,1364.0
Andhra Pradesh,Rabi,Sandy,Sugarcane,1171.5,34.4,43.4,8.06,19.86,60.6,73.4,51.0,Organic,Drip,77094.9
Tamil Nadu,Kharif,Laterite,Wheat,652.6,12.0,70.9,5.54,8.53,72.7,12.8,68.5,NPK,Drip,3003.2
West Bengal,Rabi,Loamy,Mustard,274.7,15.0,44.0,7.65,8.12,77.9,34.2,41.6,DAP,Flood,1760.4
Punjab,Zaid,Red,Mustard,562.7,23.4,57.7,8.03,4.02,69.2,70.1,25.5,Compost,Sprinkler,901.3
Andhra Pradesh,Kharif,Loamy,Mustard,582.5,16.1,57.0,6.62,9.65,86.9,50.8,42.6,Organic,Sprinkler,1653.0
Punjab,Rabi,Alluvial,Rice,966.0,28.3,52.6,7.44,7.03,105.0,29.5,43.1,Organic,Drip,5937.7
Andhra Pradesh,Zaid,Loamy,Wheat,426.8,17.3,56.9,5.88,15.34,94.2,41.0,48.6,Potash,Sprinkler,2288.5
West Bengal,Rabi,Alluvial,Mustard,224.8,16.6,59.1,7.54,5.63,70.3,63.6,71.9,Urea,Sprinkler,1425.0
Haryana,Rabi,Alluvial,Soybean,686.0,21.7,66.5,5.63,9.52,121.3,34.8,78.8,DAP,Drip,1325.1
Uttar Pradesh,Zaid,Clay,Cotton,914.9,36.9,85.9,8.31,19.79,148.8,20.9,27.7,Organic,Rain-fed,374.4
Andhra Pradesh,Rabi,Clay,Rice,1744.7,33.1,68.3,7.63,8.12,108.0,58.8,47.5,Compost,Flood,4477.9
Uttar Pradesh,Kharif,Red,Mustard,559.3,14.4,57.9,5.67,16.75,104.9,32.0,23.4,NPK,Rain-fed,1574.6
Karnataka,Zaid,Sandy,Mustard,477.6,18.4,62.5,7.6,12.96,54.8,36.3,71.8,Organic,Sprinkler,1929.5
Karnataka,Kharif,Loamy,Sugarcane,1327.7,31.6,86.0,7.53,13.85,148.0,68.9,65.2,Potash,Flood,83788.2
Punjab,Rabi,Red,Groundnut,468.6,29.5,87.2,6.1,17.58,101.5,15.7,71.6,Potash,Rain-fed,1000.5
Rajasthan,Kharif,Black,Rice,1859.8,28.8,56.9,7.18,18.69,119.0,76.8,36.0,NPK,Sprinkler,5123.9
Tamil Nadu,Rabi,Clay,Maize,774.5,29.8,47.2,6.65,4.47,21.6,47.9,50.2,DAP,Rain-fed,7716.4
West Bengal,Kharif,Loamy,Rice,1339.0,32.5,74.4,8.46,9.05,144.4,65.5,37.9,Urea,Rain-fed,5301.0
Maharashtra,Rabi,Sandy,Jowar,523.3,29.9,48.4,5.82,10.93,33.9,77.5,50.1,DAP,Drip,1317.8
Punjab,Kharif,Black,Groundnut,494.1,23.4,72.7,7.92,8.83,76.4,42.0,48.6,Potash,Flood,948.9
West Bengal,Zaid,Alluvial,Mustard,437.4,15.7,64.2,7.82,10.57,84.7,29.2,57.4,DAP,Drip,803.2
Haryana,Rabi,Clay,Maize,747.2,24.4,52.4,7.11,18.91,147.1,68.1,56.1,Potash,Sprinkler,5656.2
Tamil Nadu,Kharif,Red,Cotton,1101.2,36.3,61.2,5.9,8.02,135.7,46.7,47.6,Potash,Sprinkler,554.9
Tamil Nadu,Zaid,Laterite,Cotton,971.7,25.4,93.6,6.67,18.24,125.2,75.8,19.8,Urea,Drip,407.8
Andhra Pradesh,Rabi,Sandy,Rice,1219.3,32.8,66.7,7.0,5.16,137.8,30.6,62.7,Organic,Flood,2938.6
Rajasthan,Rabi,Laterite,Sugarcane,1417.9,29.5,89.0,6.39,18.66,107.1,28.8,38.7,DAP,Sprinkler,113005.7
West Bengal,Zaid,Red,Jowar,742.3,29.3,59.8,6.19,11.8,122.3,35.5,79.2,DAP,Drip,2505.5
Uttar Pradesh,Rabi,Loamy,Maize,992.2,23.0,75.5,6.13,8.64,47.7,37.3,32.3,Potash,Flood,2362.3
Punjab,Zaid,Black,Jowar,739.2,22.6,57.4,7.79,0.93,52.5,18.0,71.9,Urea,Drip,1293.7
Madhya Pradesh,Kharif,Alluvial,Jowar,711.7,22.4,71.9,6.9,8.69,132.9,29.5,24.3,DAP,Rain-fed,1614.6
Rajasthan,Rabi,Red,Mustard,237.1,21.1,48.8,5.52,8.75,40.9,15.4,24.4,Potash,Rain-fed,1613.2
Maharashtra,Rabi,Loamy,Cotton,694.1,30.8,69.9,7.72,12.3,35.4,64.7,35.5,DAP,Rain-fed,898.0
West Bengal,Zaid,Clay,Mustard,435.6,18.1,68.1,6.3,18.75,36.6,40.3,18.9,Compost,Sprinkler,1284.2
Tamil Nadu,Zaid,Sandy,Maize,1160.5,28.8,59.6,6.22,4.84,64.9,19.6,79.9,Urea,Rain-fed,1966.8
Madhya Pradesh,Zaid,Laterite,Sugarcane,1678.1,28.2,77.0,6.77,17.51,128.7,52.6,37.2,Organic,Flood,91495.0
Uttar Pradesh,Kharif,Clay,Mustard,353.9,20.9,76.9,8.03,5.38,114.8,34.3,72.1,Urea,Drip,1709.2
Karnataka,Rabi,Loamy,Sugarcane,1541.5,26.0,58.9,8.47,7.8,78.9,65.5,63.8,Urea,Flood,89575.4
Rajasthan,Rabi,Red,Rice,1734.1,30.5,77.6,6.25,10.24,93.1,15.8,23.0,Organic,Rain-fed,2686.2
Tamil Nadu,Kharif,Alluvial,Maize,679.6,27.4,43.7,6.01,19.7,132.8,69.4,45.8,Potash,Flood,5314.1
Haryana,Rabi,Black,Mustard,532.8,11.2,69.9,6.44,5.79,50.1,74.1,38.4,Potash,Rain-fed,1578.7
West Bengal,Kharif,Loamy,Cotton,978.1,36.5,66.0,8.11,8.59,22.6,21.1,54.9,DAP,Flood,783.0
Karnataka,Zaid,Loamy,Rice,1628.8,32.0,69.7,5.66,14.98,38.2,57.0,26.5,DAP,Rain-fed,3502.6
Tamil Nadu,Rabi,Sandy,Rice,1021.0,26.7,84.1,7.76,14.07,67.5,36.3,45.2,Urea,Drip,2235.0
Madhya Pradesh,Kharif,Black,Jowar,613.8,22.6,88.6,7.22,17.42,140.6,24.8,48.8,Potash,Rain-fed,1193.1
Uttar Pradesh,Rabi,Clay,Maize,916.8,22.8,65.1,6.7,12.06,144.2,70.0,69.1,NPK,Rain-fed,2360.6
Karnataka,Kharif,Laterite,Jowar,829.7,22.9,48.1,7.8,15.01,21.1,25.2,67.9,NPK,Rain-fed,2152.9
Rajasthan,Rabi,Sandy,Jowar,365.8,26.1,46.1,6.82,7.4,103.2,42.8,70.1,Urea,Rain-fed,1423.9
Haryana,Rabi,Loamy,Sugarcane,1605.5,28.4,46.3,5.86,18.49,149.9,59.7,63.3,NPK,Rain-fed,126572.0
Rajasthan,Zaid,Alluvial,Sugarcane,2057.2,35.9,67.7,7.54,5.33,53.5,33.3,40.9,Urea,Flood,85292.4
Maharashtra,Zaid,Red,Wheat,487.7,20.5,72.0,7.86,3.8,117.4,31.4,76.6,Potash,Rain-fed,3826.5
Uttar Pradesh,Zaid,Alluvial,Sugarcane,1785.5,25.1,68.3,5.53,13.63,47.8,48.6,78.5,Organic,Sprinkler,52477.9
Maharashtra,Zaid,Sandy,Barley,389.4,19.5,69.9,7.41,10.68,49.7,21.0,53.1,NPK,Flood,4338.5
Maharashtra,Zaid,Sandy,Maize,593.8,19.2,88.3,6.35,16.22,45.0,28.5,68.4,DAP,Flood,5058.2
Andhra Pradesh,Kharif,Loamy,Jowar,303.6,22.6,70.0,6.77,10.74,80.3,17.2,42.0,Organic,Rain-fed,1504.9
Uttar Pradesh,Rabi,Sandy,Barley,596.5,21.8,83.2,8.24,14.4,125.3,76.7,35.4,Organic,Rain-fed,1958.8
Haryana,Kharif,Black,Rice,1571.7,34.6,71.1,5.89,10.23,129.0,75.6,32.2,Potash,Rain-fed,2094.8
Rajasthan,Zaid,Loamy,Soybean,1043.0,28.0,92.5,8.25,5.05,72.9,55.5,34.9,Compost,Drip,2802.6
Karnataka,Kharif,Sandy,Jowar,352.3,31.6,94.9,6.55,16.74,109.9,32.8,65.0,Potash,Drip,2800.9
Maharashtra,Kharif,Alluvial,Sugarcane,1938.2,29.5,94.1,8.13,3.63,65.3,40.4,33.5,Potash,Drip,75348.1
Madhya Pradesh,Kharif,Red,Jowar,402.8,32.9,61.0,6.72,9.96,68.1,24.9,71.9,Urea,Rain-fed,2615.6
Haryana,Kharif,Black,Groundnut,673.2,26.8,91.5,7.26,14.13,128.5,12.3,28.8,Compost,Sprinkler,1781.1
Tamil Nadu,Zaid,Black,Soybean,618.8,21.5,61.7,7.19,4.94,21.6,44.2,55.1,DAP,Flood,2749.2
Rajasthan,Kharif,Clay,Soybean,919.2,22.1,57.6,8.16,1.46,30.7,69.0,10.7,Urea,Flood,2364.5
Tamil Nadu,Zaid,Loamy,Barley,273.8,14.6,75.4,6.69,8.76,48.3,58.5,59.5,DAP,Flood,4313.7
Andhra Pradesh,Kharif,Red,Barley,670.9,17.2,74.8,7.07,6.73,139.6,39.9,35.6,DAP,Sprinkler,4583.1
Rajasthan,Zaid,Loamy,Groundnut,458.5,29.0,91.3,6.25,14.81,61.3,31.7,62.4,DAP,Flood,2011.6
Uttar Pradesh,Zaid,Red,Sugarcane,1833.8,24.3,42.4,6.7,3.04,109.2,25.1,59.7,DAP,Sprinkler,144072.9
Punjab,Kharif,Loamy,Mustard,465.6,22.8,93.9,7.29,14.63,27.8,65.8,12.4,Urea,Rain-fed,1790.8
Andhra Pradesh,Kharif,Loamy,Barley,435.2,17.7,65.2,6.52,9.62,77.0,35.1,49.6,Organic,Flood,2199.6
Rajasthan,Kharif,Alluvial,Soybean,1136.6,22.3,70.1,6.01,16.44,122.6,62.5,78.0,Potash,Flood,1592.1
Tamil Nadu,Rabi,Laterite,Rice,1714.9,32.9,44.2,7.46,10.77,134.7,34.0,37.1,Urea,Sprinkler,3965.5
West Bengal,Rabi,Black,Wheat,557.0,20.1,50.0,6.49,11.0,84.8,23.3,48.7,NPK,Flood,3880.4
Tamil Nadu,Kharif,Sandy,Groundnut,629.9,24.7,87.1,8.38,13.92,142.0,56.4,69.1,NPK,Flood,2334.6
Madhya Pradesh,Zaid,Clay,Barley,633.5,9.5,79.8,6.9,2.19,125.9,30.3,79.4,DAP,Drip,4096.5
Punjab,Kharif,Red,Mustard,345.6,21.9,83.9,7.63,10.79,31.4,55.9,73.8,Compost,Sprinkler,839.8
Rajasthan,Rabi,Loamy,Cotton,882.7,36.7,78.4,7.29,10.03,107.2,55.1,27.1,NPK,Drip,405.0
Uttar Pradesh,Zaid,Alluvial,Mustard,267.4,15.5,43.4,6.55,16.19,136.6,74.4,73.5,Organic,Drip,1652.2
Uttar Pradesh,Kharif,Laterite,Barley,333.6,11.3,92.5,7.71,14.82,45.5,21.7,50.3,Organic,Flood,2576.8
Rajasthan,Kharif,Black,Barley,224.8,15.0,61.9,6.12,11.24,57.6,24.6,37.8,Compost,Flood,1873.6
Haryana,Zaid,Alluvial,Maize,766.3,18.1,56.0,5.89,16.94,80.1,66.3,17.9,NPK,Sprinkler,2109.7
Madhya Pradesh,Zaid,Clay,Wheat,355.0,21.0,70.4,7.19,14.85,65.9,71.0,31.6,DAP,Sprinkler,4013.7
Tamil Nadu,Kharif,Red,Cotton,1148.8,29.8,73.5,8.13,17.73,134.6,17.9,44.1,Organic,Rain-fed,399.9
Karnataka,Zaid,Alluvial,Cotton,943.4,24.6,65.3,6.79,18.0,52.4,75.7,66.6,DAP,Flood,925.4
Haryana,Rabi,Clay,Maize,526.1,28.8,53.9,6.69,19.67,68.9,31.1,17.7,Organic,Drip,4208.6
Haryana,Kharif,Clay,Wheat,473.7,22.2,74.0,5.67,12.52,45.7,67.4,73.8,NPK,Drip,5972.7
Andhra Pradesh,Rabi,Red,Wheat,682.2,10.0,81.9,7.87,18.64,137.5,22.4,57.8,Urea,Rain-fed,3707.9
Andhra Pradesh,Zaid,Black,Soybean,774.6,25.9,40.7,7.0,14.1,23.7,24.8,40.3,Urea,Sprinkler,1675.3
Maharashtra,Kharif,Sandy,Mustard,231.2,23.2,75.9,6.01,18.66,111.9,26.3,71.7,NPK,Sprinkler,1544.2
West Bengal,Rabi,Red,Barley,335.5,18.6,50.1,6.58,7.98,98.0,50.0,12.7,DAP,Drip,4181.0
Tamil Nadu,Kharif,Clay,Jowar,624.0,31.2,43.3,5.79,1.24,127.4,31.9,36.9,Urea,Rain-fed,2517.4
Uttar Pradesh,Rabi,Red,Maize,1190.0,27.2,40.9,5.82,6.21,110.8,72.7,41.4,Urea,Rain-fed,4606.6
Madhya Pradesh,Zaid,Alluvial,Soybean,822.7,21.0,90.1,6.54,2.49,93.1,76.0,45.9,Potash,Rain-fed,1183.0
Madhya Pradesh,Zaid,Clay,Wheat,376.4,15.5,83.4,6.52,5.49,57.1,75.5,58.4,DAP,Flood,3295.4
Rajasthan,Kharif,Alluvial,Maize,671.3,27.1,71.3,6.85,8.98,38.3,67.5,72.0,Compost,Flood,2860.1
Punjab,Kharif,Laterite,Sugarcane,1080.1,32.5,77.4,7.64,18.74,45.0,14.8,70.8,NPK,Sprinkler,114799.9
Andhra Pradesh,Kharif,Clay,Cotton,708.4,31.0,49.3,8.09,10.21,109.5,72.4,54.3,Organic,Rain-fed,537.7
Tamil Nadu,Kharif,Laterite,Groundnut,870.7,34.5,57.8,6.6,1.39,113.9,64.1,20.5,NPK,Flood,1898.9
Uttar Pradesh,Rabi,Black,Groundnut,526.1,27.6,86.8,6.88,0.97,31.0,79.0,51.2,NPK,Drip,1463.4
Karnataka,Kharif,Black,Cotton,627.6,37.6,88.1,6.53,6.85,104.7,47.4,42.2,Compost,Sprinkler,931.3
Haryana,Zaid,Alluvial,Rice,1098.5,31.8,47.3,5.99,7.19,97.0,44.0,61.7,NPK,Sprinkler,4592.8
Rajasthan,Rabi,Alluvial,Wheat,590.1,22.5,60.3,7.38,10.06,27.2,53.8,27.3,Organic,Rain-fed,2988.1
Uttar Pradesh,Rabi,Loamy,Sugarcane,2184.5,25.5,54.5,7.23,16.53,135.7,75.0,26.7,Urea,Sprinkler,86105.2
Karnataka,Kharif,Red,Sugarcane,1431.6,37.8,60.2,5.62,6.87,23.3,38.4,12.2,DAP,Sprinkler,79843.7
Uttar Pradesh,Rabi,Sandy,Maize,1019.6,27.6,55.5,6.13,3.16,141.6,74.5,13.5,Compost,Sprinkler,2423.5
Haryana,Rabi,Red,Sugarcane,1421.8,26.9,81.8,6.95,10.99,92.2,65.4,50.2,Potash,Drip,74594.5
Andhra Pradesh,Rabi,Red,Groundnut,532.4,26.4,72.1,6.66,1.17,139.5,30.5,32.6,Potash,Flood,1025.1
Karnataka,Kharif,Sandy,Soybean,695.5,26.6,92.6,7.74,11.56,48.7,60.1,46.5,Compost,Flood,1771.3
Uttar Pradesh,Kharif,Alluvial,Jowar,364.0,30.2,81.0,8.21,0.59,114.3,47.1,25.0,Potash,Flood,1086.2
Madhya Pradesh,Rabi,Red,Soybean,794.7,28.6,56.0,6.87,8.54,128.2,53.5,12.6,Urea,Drip,2631.7
Haryana,Rabi,Black,Mustard,376.5,21.3,75.9,5.99,5.49,47.3,70.6,39.2,Compost,Sprinkler,1600.9
Andhra Pradesh,Rabi,Black,Rice,1804.7,34.6,61.5,5.83,17.96,115.7,12.6,28.2,Potash,Sprinkler,4199.6
Punjab,Kharif,Black,Wheat,628.8,17.4,79.9,5.57,3.9,66.9,67.4,36.3,NPK,Sprinkler,5343.0
Haryana,Zaid,Alluvial,Jowar,468.9,22.7,91.4,6.27,12.42,48.2,15.9,53.4,NPK,Rain-fed,2701.3
Maharashtra,Kharif,Black,Mustard,230.6,20.9,46.9,5.93,17.87,57.6,20.1,43.8,Organic,Rain-fed,1458.1
West Bengal,Rabi,Clay,Wheat,723.1,13.9,61.6,8.14,19.61,70.8,43.0,69.7,Organic,Flood,4484.4
West Bengal,Rabi,Loamy,Rice,1085.3,30.6,83.9,5.64,3.59,49.9,33.7,79.9,Potash,Sprinkler,4524.4
Madhya Pradesh,Kharif,Alluvial,Cotton,1150.3,26.0,40.8,8.22,4.92,135.5,36.6,73.6,Potash,Rain-fed,597.8
Rajasthan,Zaid,Red,Mustard,589.6,16.3,75.2,8.33,2.69,45.0,72.6,77.5,Organic,Sprinkler,1328.3
Andhra Pradesh,Rabi,Alluvial,Soybean,1109.8,29.8,93.7,7.17,11.53,96.0,40.8,31.2,DAP,Rain-fed,1046.7
Rajasthan,Rabi,Clay,Cotton,921.2,31.7,85.2,7.41,4.97,124.2,47.7,31.0,Compost,Sprinkler,491.5
Karnataka,Rabi,Loamy,Soybean,1165.5,30.0,53.7,6.04,9.51,122.9,71.9,58.0,DAP,Rain-fed,1473.3
Tamil Nadu,Zaid,Alluvial,Barley,522.8,15.8,74.5,8.48,10.98,27.3,54.2,63.5,Organic,Drip,3615.1
Madhya Pradesh,Zaid,Laterite,Groundnut,534.3,23.7,44.2,8.31,6.14,64.0,77.7,17.1,Potash,Sprinkler,1495.8
Madhya Pradesh,Zaid,Loamy,Groundnut,465.5,32.0,78.4,7.35,11.71,76.2,34.0,76.7,Urea,Rain-fed,1224.5
Andhra Pradesh,Zaid,Black,Jowar,350.1,32.7,73.5,6.5,16.62,41.4,59.4,54.7,Urea,Rain-fed,2430.0
Punjab,Zaid,Laterite,Sugarcane,1813.9,30.2,78.0,5.64,7.11,32.6,26.5,13.6,Compost,Drip,128627.6
Uttar Pradesh,Zaid,Alluvial,Barley,362.3,12.5,64.2,7.86,18.51,44.3,64.8,76.9,Urea,Rain-fed,2784.1
Andhra Pradesh,Rabi,Red,Soybean,807.8,25.7,49.4,6.14,10.87,100.1,73.5,60.1,Compost,Drip,2556.8
Rajasthan,Rabi,Alluvial,Soybean,708.5,26.5,83.7,7.62,3.14,115.7,63.9,26.2,DAP,Sprinkler,2615.7
Maharashtra,Zaid,Black,Barley,528.1,13.8,58.7,7.4,12.03,39.4,35.8,39.1,Compost,Sprinkler,3159.4
West Bengal,Kharif,Sandy,Maize,670.6,20.7,42.3,6.99,0.75,123.6,23.4,30.1,Potash,Rain-fed,6941.4
Haryana,Zaid,Alluvial,Cotton,1104.9,33.3,75.0,7.74,18.59,146.1,34.1,34.5,Urea,Flood,638.6
West Bengal,Zaid,Clay,Mustard,266.8,10.2,59.0,7.07,7.52,93.1,18.7,15.6,Potash,Rain-fed,1798.8
Andhra Pradesh,Rabi,Clay,Cotton,784.8,26.3,59.9,6.28,17.22,143.0,36.4,71.0,DAP,Sprinkler,638.9
Rajasthan,Kharif,Red,Maize,539.7,26.2,63.1,5.76,4.44,82.6,47.0,76.4,Urea,Flood,1888.5
Maharashtra,Zaid,Laterite,Mustard,549.3,12.9,59.0,5.55,5.4,81.8,21.4,18.6,Compost,Drip,2411.8
Maharashtra,Rabi,Loamy,Sugarcane,2362.9,29.7,63.7,6.86,17.65,67.4,28.6,51.3,NPK,Rain-fed,65914.9
Andhra Pradesh,Kharif,Sandy,Wheat,639.3,17.9,92.6,7.79,8.4,51.9,60.0,46.5,Compost,Drip,4815.8
Madhya Pradesh,Kharif,Alluvial,Maize,544.8,25.5,83.1,8.01,9.36,89.4,75.7,60.8,Organic,Rain-fed,5465.4
Tamil Nadu,Kharif,Alluvial,Groundnut,527.4,24.2,43.8,6.84,3.7,126.6,36.9,52.7,NPK,Rain-fed,1778.2
Maharashtra,Rabi,Black,Sugarcane,1112.2,37.8,53.5,7.52,1.34,42.1,58.8,25.7,NPK,Rain-fed,58152.9
West Bengal,Zaid,Clay,Maize,1071.5,28.5,55.7,6.63,16.4,30.7,33.0,39.7,Potash,Flood,4330.4
Maharashtra,Rabi,Laterite,Jowar,512.4,31.4,60.9,7.71,3.43,47.6,15.2,53.2,NPK,Rain-fed,2708.3
West Bengal,Rabi,Alluvial,Jowar,559.6,26.4,67.1,6.6,9.68,79.9,14.4,73.4,Compost,Rain-fed,1655.4
Punjab,Rabi,Laterite,Wheat,536.2,11.0,64.2,7.38,10.06,91.1,43.7,74.7,NPK,Flood,5261.4
Andhra Pradesh,Rabi,Loamy,Groundnut,603.5,35.5,46.0,8.38,15.13,61.1,21.3,38.7,Organic,Drip,2273.8
Andhra Pradesh,Kharif,Clay,Groundnut,591.3,30.6,64.8,7.78,11.15,87.2,79.4,13.8,Compost,Rain-fed,1547.5
West Bengal,Kharif,Black,Sugarcane,2376.2,34.2,40.1,7.03,4.27,33.6,10.1,41.6,Organic,Flood,62765.2
Haryana,Kharif,Red,Wheat,512.0,18.5,57.9,6.05,17.97,33.7,78.7,61.2,Compost,Drip,5750.2
Andhra Pradesh,Kharif,Sandy,Soybean,1097.5,20.1,60.6,8.05,3.68,25.6,35.5,36.6,Urea,Flood,2205.0
Maharashtra,Zaid,Red,Sugarcane,1980.1,31.3,94.3,7.62,6.17,25.8,24.3,26.3,Urea,Flood,81304.6
West Bengal,Rabi,Clay,Groundnut,899.3,24.8,65.8,6.74,11.77,65.9,25.0,50.0,NPK,Sprinkler,2217.5
Uttar Pradesh,Zaid,Clay,Cotton,678.4,34.5,89.7,6.95,11.69,115.3,49.7,29.0,Urea,Rain-fed,421.6
Punjab,Kharif,Loamy,Maize,1167.6,23.8,44.2,6.55,16.54,57.7,69.2,44.5,Urea,Rain-fed,4636.4
Punjab,Zaid,Sandy,Barley,630.5,11.0,91.8,7.21,10.28,100.1,21.9,58.0,Organic,Sprinkler,2828.4
West Bengal,Zaid,Loamy,Maize,602.0,30.2,68.7,7.36,8.19,80.9,57.6,53.5,DAP,Flood,5554.3
Andhra Pradesh,Rabi,Clay,Rice,1723.7,30.0,58.8,5.59,8.2,101.4,15.9,71.9,Urea,Rain-fed,2552.7
Haryana,Rabi,Alluvial,Cotton,1010.5,27.9,57.4,7.85,3.92,39.5,14.1,71.1,NPK,Sprinkler,509.4
Punjab,Rabi,Sandy,Barley,227.8,10.1,73.5,7.67,7.79,85.3,23.7,61.1,DAP,Sprinkler,3529.6
Uttar Pradesh,Kharif,Loamy,Barley,663.5,11.7,78.1,8.04,7.45,139.8,22.8,66.2,DAP,Drip,3548.1
Andhra Pradesh,Zaid,Laterite,Wheat,502.8,15.3,52.6,6.05,15.67,123.1,40.0,79.7,DAP,Flood,3016.8
Andhra Pradesh,Rabi,Sandy,Jowar,366.7,32.3,73.7,6.08,9.73,51.6,78.1,20.6,Organic,Flood,2265.9
Andhra Pradesh,Zaid,Alluvial,Soybean,1153.3,21.8,81.5,6.47,15.86,95.1,35.8,24.4,DAP,Drip,2603.8
Karnataka,Rabi,Alluvial,Cotton,780.2,27.8,67.4,6.98,11.97,91.3,70.0,46.0,Organic,Drip,822.7
Karnataka,Rabi,Sandy,Mustard,482.3,14.7,55.8,5.73,6.55,96.0,14.7,55.6,Compost,Sprinkler,1419.6
Maharashtra,Kharif,Loamy,Rice,1091.5,29.2,85.8,7.77,10.61,72.9,47.1,45.5,Urea,Drip,4732.7
West Bengal,Rabi,Laterite,Rice,1127.1,28.9,92.3,6.79,2.03,120.5,14.7,73.5,Potash,Rain-fed,3008.9
Tamil Nadu,Zaid,Clay,Soybean,1033.4,21.3,42.0,8.07,18.17,127.2,62.1,54.3,Potash,Rain-fed,2082.2
Uttar Pradesh,Kharif,Alluvial,Mustard,553.9,17.4,40.9,7.6,19.12,149.2,58.1,12.4,DAP,Drip,2062.7
West Bengal,Zaid,Black,Soybean,1128.1,29.8,74.8,7.94,6.29,29.1,28.8,49.7,Organic,Flood,2081.4
Rajasthan,Zaid,Alluvial,Wheat,510.5,18.7,52.5,6.26,10.33,94.6,63.0,29.1,NPK,Rain-fed,3539.5
Rajasthan,Zaid,Laterite,Groundnut,515.0,30.6,85.7,7.61,13.41,100.5,69.3,21.9,DAP,Drip,1722.4
Uttar Pradesh,Zaid,Sandy,Wheat,739.1,13.7,44.4,7.96,11.63,137.4,12.7,46.1,Potash,Rain-fed,2200.6
Haryana,Kharif,Clay,Maize,963.1,20.3,63.4,8.27,3.76,28.2,65.7,53.5,NPK,Flood,3409.4
